Depth [m],Oxygen [muM]
50,319.287139892578
100,310.384796142578
150,306.290832519531
200,304.600555419922
250,303.401306152344
300,302.824279785156
350,302.415954589844
400,302.247772216797
450,302.146301269531
500,302.296020507812
550,302.236114501953
600,302.160461425781
650,302.065063476562
700,301.930877685547
750,301.834381103516
800,301.667083740234
850,301.437469482422
900,301.137084960938
950,300.863128662109
1000,300.426452636719
1050,299.954315185547
1100,299.396148681641
1150,298.660949707031
1200,298.003997802734
1250,297.165863037109
1300,296.100769042969
1350,295.250396728516
1400,294.462432861328
1450,293.741271972656
1500,292.911651611328
1550,292.091461181641
1600,291.653961181641
1650,291.196563720703
1700,291.015899658203
1750,290.57470703125
1800,290.18017578125
1850,289.790588378906
1900,289.359954833984
1950,289.176696777344
2000,289.946868896484
2050,290.082244873047
2100,289.920989990234
2150,289.830657958984
2200,289.586883544922
2250,289.403076171875
2300,289.101501464844
2350,288.999847412109
2400,288.802551269531
2450,288.823852539062
2500,288.869781494141
2550,288.953704833984
2600,289.11181640625
2650,289.360961914062
2700,289.476013183594
2750,289.849670410156
2800,290.311614990234
2850,290.601501464844
2900,290.597869873047
2950,290.713928222656
3000,291.298095703125
3050,291.945190429688
3100,292.432952880859
3150,292.725250244141
3200,294.008636474609
3250,295.761901855469
3300,297.702270507812
3350,299.363861083984
3400,301.319671630859
3450,302.866516113281
3500,303.684143066406
3550,304.455017089844
3600,305.019958496094
